PLAYER,A,BLK,DEF,OFF,PF,PTS,STL,TO,TOT,3P,3PA,FG,FGA,FT,FTA,MINS,TEAM,PER
A'Torey Everett,17,1,15,3,30,48,1,18,18,4,7,13,37,18,23,217,Tennessee St.,2.575279101332224
A.C. Reid,50,4,45,0,56,147,19,32,45,39,119,48,138,12,18,649,Liberty,13.850542170507369
A.J. Astroth,15,6,103,50,38,143,14,22,153,3,13,54,113,32,53,440,Hampton,30.92682708774126
A.J. Cheeseman,5,3,7,1,11,8,1,5,8,0,0,4,10,0,5,70,New Orleans,1.9777844920309646
A.J. Davis,58,8,144,41,65,190,21,62,185,11,53,59,169,61,92,806,Central Florida,17.255137113688594
A.J. Hess,16,9,80,12,33,258,13,19,92,64,168,79,200,36,43,679,South Dakota State,25.82311612569346
A.J. Jacobson,60,16,136,13,67,287,15,38,149,46,111,88,205,65,82,865,North Dakota State,26.400589182791425
A.J. Lawson,23,4,78,42,65,301,28,44,120,15,53,113,261,60,94,612,North Texas,29.55834083040572
A.J. Merriweather,45,2,73,30,71,248,51,57,103,22,49,83,166,60,78,693,East Tennessee St.,28.0682714805835
A.J. Mosby,65,2,90,20,46,241,30,41,110,44,116,80,207,37,47,780,Alcorn St.,23.150450974748452
A.J. Rutter,0,0,0,1,1,6,0,2,1,2,6,2,7,0,0,13,Drake,0.4492601320065015
A.J. Turner,93,7,84,18,44,257,18,31,102,47,125,92,215,26,38,922,Boston College,21.901287111435654
AJ Brodeur,50,64,130,46,70,360,25,62,176,7,18,154,291,45,76,791,Pennsylvania,37.554428131841185
AJ Sumbry,7,34,65,42,81,121,5,32,107,0,0,45,86,31,52,413,Wagner,25.77507849223948
Aaren Smith,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,Rutgers,-19.94569334689776
Aaric Armstead,43,16,111,54,59,240,43,47,165,21,78,80,241,59,87,864,Northern Illinois,21.08856623724994
Aaron Anderson,86,3,96,39,66,199,22,50,135,15,40,62,129,60,72,710,Oral Roberts,26.601610359687072
Aaron Ariri,0,2,2,8,6,4,0,1,10,0,0,0,4,4,9,28,Troy,15.064930676950391
Aaron Augustin,40,0,14,5,38,39,16,28,19,5,17,14,43,6,18,319,Stephen F. Austin,6.352959083741448
Aaron Bodager,35,0,85,29,65,218,28,53,114,60,176,76,205,6,8,868,North Florida,14.085904170089027
Aaron Brennan,19,7,65,21,68,220,13,27,86,20,44,84,169,32,43,516,Indiana - Purdue,27.495565667347204
Aaron Briggs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Navy,0.0
Aaron Calixte,12,0,3,1,6,38,3,7,4,5,19,14,38,5,5,105,Maine,19.000094804620286
Aaron Carver,4,10,20,16,27,23,6,6,36,0,1,9,30,5,8,187,Old Dominion,13.654674599839671
Aaron Cook,29,6,17,6,23,93,29,24,23,5,27,26,76,36,47,313,Southern Illinois,25.110657308535476
Aaron Epps,13,9,74,48,78,167,5,41,122,14,31,64,133,25,37,472,Louisiana State,21.572930242560926
Aaron Falzon,3,1,2,0,1,0,0,1,2,0,3,0,3,0,0,20,Northwestern,-0.6521267627721342
