,MATCH,DATE,PT_DIFF,HOME,AWAY,TEAM_x,A_x,BLK_x,DEF_x,OFF_x,PF_x,PTS_x,STL_x,TO_x,TOT_x,3P_x,3PA_x,FG_x,FGA_x,FT_x,FTA_x,PER_x,TEAM_y,A_y,BLK_y,DEF_y,OFF_y,PF_y,PTS_y,STL_y,TO_y,TOT_y,3P_y,3PA_y,FG_y,FGA_y,FT_y,FTA_y,PER_y
0,Maine vs. Richmond,2007-11-05,-2,Maine,Richmond,Maine,12.0,2.75,22.75,10.25,19.642857142857142,65.25,6.5,19.285714285714285,33.0,5.607142857142857,16.607142857142858,22.428571428571427,54.285714285714285,14.785714285714286,21.75,12.954417023502415,Richmond,13.32258064516129,3.4838709677419355,19.451612903225808,7.032258064516129,20.096774193548388,63.67741935483871,8.290322580645162,13.870967741935484,26.483870967741936,7.032258064516129,19.93548387096774,22.806451612903224,52.0,11.03225806451613,15.64516129032258,18.878152142721703
1,Tenn-Martin vs. Memphis,2007-11-05,31,Tenn-Martin,Memphis,Tenn-Martin,14.275862068965518,2.4827586206896552,23.03448275862069,11.137931034482758,17.75862068965517,80.3103448275862,7.103448275862069,14.448275862068966,34.172413793103445,9.931034482758621,28.93103448275862,27.75862068965517,64.03448275862068,14.862068965517242,21.448275862068964,18.85582567636622,Memphis,16.57894736842105,6.421052631578948,26.05263157894737,12.894736842105264,17.210526315789473,83.36842105263158,8.789473684210526,12.0,38.94736842105263,7.947368421052632,22.763157894736842,29.789473684210527,63.94736842105263,15.842105263157896,25.42105263157895,26.202321238165915
2,Gardner-Webb vs. Alabama A&M,2007-11-06,-14,Gardner-Webb,Alabama A&M,Gardner-Webb,17.344827586206897,2.896551724137931,25.310344827586206,10.482758620689655,23.551724137931036,79.93103448275862,7.586206896551724,15.655172413793103,35.793103448275865,8.551724137931034,23.586206896551722,28.06896551724138,62.310344827586206,15.241379310344827,22.896551724137932,17.78331546812307,Alabama A&M,8.96,5.4,19.08,9.48,16.12,60.96,6.56,13.28,28.56,5.96,17.44,20.36,52.96,14.28,20.6,16.893192589065748
3,Central Arkansas vs. Kentucky,2007-11-06,-27,Central Arkansas,Kentucky,Central Arkansas,7.923076923076923,4.615384615384615,21.46153846153846,10.115384615384615,17.307692307692307,61.53846153846154,5.846153846153846,13.192307692307692,31.576923076923077,5.423076923076923,17.692307692307693,20.692307692307693,53.11538461538461,14.73076923076923,21.192307692307693,17.988296657531425,Kentucky,12.2,4.666666666666667,21.933333333333334,8.433333333333334,17.833333333333332,65.43333333333334,6.366666666666666,14.9,30.366666666666667,5.3,14.066666666666666,22.833333333333332,47.266666666666666,14.466666666666667,19.733333333333334,6.404415926019466
4,Maine vs. Tenn-Martin,2007-11-06,-4,Maine,Tenn-Martin,Maine,12.0,2.75,22.75,10.25,19.642857142857142,65.25,6.5,19.285714285714285,33.0,5.607142857142857,16.607142857142858,22.428571428571427,54.285714285714285,14.785714285714286,21.75,12.954417023502415,Tenn-Martin,14.275862068965518,2.4827586206896552,23.03448275862069,11.137931034482758,17.75862068965517,80.3103448275862,7.103448275862069,14.448275862068966,34.172413793103445,9.931034482758621,28.93103448275862,27.75862068965517,64.03448275862068,14.862068965517242,21.448275862068964,18.85582567636622
5,Richmond vs. Memphis,2007-11-06,17,Richmond,Memphis,Richmond,13.32258064516129,3.4838709677419355,19.451612903225808,7.032258064516129,20.096774193548388,63.67741935483871,8.290322580645162,13.870967741935484,26.483870967741936,7.032258064516129,19.93548387096774,22.806451612903224,52.0,11.03225806451613,15.64516129032258,18.878152142721703,Memphis,16.57894736842105,6.421052631578948,26.05263157894737,12.894736842105264,17.210526315789473,83.36842105263158,8.789473684210526,12.0,38.94736842105263,7.947368421052632,22.763157894736842,29.789473684210527,63.94736842105263,15.842105263157896,25.42105263157895,26.202321238165915
6,Morgan St. vs. Connecticut,2007-11-07,4,Morgan St.,Connecticut,Morgan St.,11.620689655172415,4.758620689655173,22.551724137931036,12.620689655172415,20.103448275862068,73.37931034482759,7.068965517241379,13.793103448275861,35.172413793103445,5.275862068965517,16.17241379310345,26.379310344827587,61.10344827586207,15.344827586206897,23.310344827586206,18.373976411346273,Connecticut,15.387096774193548,8.838709677419354,26.93548387096774,12.193548387096774,15.516129032258064,81.7741935483871,5.967741935483871,13.870967741935484,39.12903225806452,5.354838709677419,14.903225806451612,27.806451612903224,60.0,20.806451612903224,28.774193548387096,24.802553755184526
7,Alabama A&M vs. Central Arkansas,2007-11-07,-10,Alabama A&M,Central Arkansas,Alabama A&M,8.96,5.4,19.08,9.48,16.12,60.96,6.56,13.28,28.56,5.96,17.44,20.36,52.96,14.28,20.6,16.893192589065748,Central Arkansas,7.923076923076923,4.615384615384615,21.46153846153846,10.115384615384615,17.307692307692307,61.53846153846154,5.846153846153846,13.192307692307692,31.576923076923077,5.423076923076923,17.692307692307693,20.692307692307693,53.11538461538461,14.73076923076923,21.192307692307693,17.988296657531425
8,Gardner-Webb vs. Kentucky,2007-11-07,16,Gardner-Webb,Kentucky,Gardner-Webb,17.344827586206897,2.896551724137931,25.310344827586206,10.482758620689655,23.551724137931036,79.93103448275862,7.586206896551724,15.655172413793103,35.793103448275865,8.551724137931034,23.586206896551722,28.06896551724138,62.310344827586206,15.241379310344827,22.896551724137932,17.78331546812307,Kentucky,12.2,4.666666666666667,21.933333333333334,8.433333333333334,17.833333333333332,65.43333333333334,6.366666666666666,14.9,30.366666666666667,5.3,14.066666666666666,22.833333333333332,47.266666666666666,14.466666666666667,19.733333333333334,6.404415926019466
9,San Francisco vs. Oklahoma,2007-11-08,16,San Francisco,Oklahoma,San Francisco,12.678571428571429,2.5714285714285716,18.607142857142858,9.785714285714286,18.25,65.28571428571429,6.25,15.428571428571429,28.392857142857142,4.892857142857143,14.928571428571429,24.107142857142858,54.964285714285715,12.178571428571429,17.357142857142858,14.627483263644141,Oklahoma,12.352941176470589,3.7058823529411766,22.558823529411764,9.911764705882353,16.470588235294116,67.3529411764706,6.176470588235294,12.205882352941176,32.470588235294116,6.205882352941177,17.705882352941178,23.529411764705884,53.205882352941174,14.088235294117647,20.558823529411764,11.483455202903036
