,index,3PM-A,A,BLK,DATE,DEF,FGM-A,FTM-A,MATCH,MIN,OFF,PF,PLAYER,PTS,STL,TEAM,TO,TOT,3P,3PA,FG,FGA,FT,FTA,MINS
0,12547,0-4,2,0,2007-11-20,0,5-11,10-10,NC-Wilmington vs. Indiana,33:00,3,2,Todd Hendley,20,0,NC-Wilmington,6,3,0,4,5,11,10,10,33
1,12548,0-0,5,0,2007-11-20,2,7-11,0-0,NC-Wilmington vs. Indiana,32:00,2,1,Vladimir Kuljanin,14,0,NC-Wilmington,4,4,0,0,7,11,0,0,32
2,12549,0-2,3,0,2007-11-20,5,2-6,3-4,NC-Wilmington vs. Indiana,19:00,1,5,T.J. Carter,7,0,NC-Wilmington,3,6,0,2,2,6,3,4,19
3,12550,2-4,2,0,2007-11-20,4,3-9,0-0,NC-Wilmington vs. Indiana,26:00,0,1,Daniel Fountain,8,2,NC-Wilmington,1,4,2,4,3,9,0,0,26
4,12551,5-7,0,0,2007-11-20,1,5-8,2-2,NC-Wilmington vs. Indiana,26:00,1,3,Chad Tomko,17,3,NC-Wilmington,6,2,5,7,5,8,2,2,26
5,12552,0-0,0,0,2007-11-20,0,0-0,0-0,NC-Wilmington vs. Indiana,5:00,0,0,Marlo Davis,0,0,NC-Wilmington,2,0,0,0,0,0,0,0,5
6,12553,1-1,0,0,2007-11-20,1,1-2,0-0,NC-Wilmington vs. Indiana,12:00,0,1,Montez Downey,3,0,NC-Wilmington,2,1,1,1,1,2,0,0,12
7,12554,0-0,1,0,2007-11-20,1,0-0,0-0,NC-Wilmington vs. Indiana,7:00,0,3,Darion Jeralds,0,1,NC-Wilmington,1,1,0,0,0,0,0,0,7
8,12555,0-1,0,0,2007-11-20,2,0-3,0-0,NC-Wilmington vs. Indiana,14:00,0,3,Josh Sheets,0,0,NC-Wilmington,0,2,0,1,0,3,0,0,14
9,12556,0-1,1,0,2007-11-20,2,1-3,0-0,NC-Wilmington vs. Indiana,15:00,0,5,Dominique Lacy,2,1,NC-Wilmington,0,2,0,1,1,3,0,0,15
10,12557,0-0,0,0,2007-11-20,1,0-1,0-0,NC-Wilmington vs. Indiana,9:00,0,0,Rob Sikes,0,0,NC-Wilmington,0,1,0,0,0,1,0,0,9
11,12558,0-0,0,0,2007-11-20,0,0-0,0-0,NC-Wilmington vs. Indiana,2:00,0,0,Jason Aycock,0,0,NC-Wilmington,0,0,0,0,0,0,0,0,2
12,12559,0-0,1,0,2007-11-20,2,5-6,1-2,NC-Wilmington vs. Indiana,19:00,0,3,DeAndre Thomas,11,0,Indiana,1,2,0,0,5,6,1,2,19
13,12560,0-0,1,0,2007-11-20,3,5-9,2-2,NC-Wilmington vs. Indiana,25:00,0,2,D.J. White,12,1,Indiana,2,3,0,0,5,9,2,2,25
14,12561,4-5,1,0,2007-11-20,0,5-8,5-5,NC-Wilmington vs. Indiana,23:00,0,0,Armon Bassett,19,0,Indiana,2,0,4,5,5,8,5,5,23
15,12562,0-1,3,1,2007-11-20,4,0-1,1-2,NC-Wilmington vs. Indiana,28:00,0,1,Jamarcus Ellis,1,1,Indiana,2,4,0,1,0,1,1,2,28
16,12563,2-5,6,0,2007-11-20,1,8-12,12-13,NC-Wilmington vs. Indiana,34:00,0,2,Eric Gordon,30,3,Indiana,2,1,2,5,8,12,12,13,34
17,12564,1-3,2,0,2007-11-20,1,7-11,0-0,NC-Wilmington vs. Indiana,22:00,0,2,Jordan Crawford,15,2,Indiana,2,1,1,3,7,11,0,0,22
18,12565,0-0,0,0,2007-11-20,3,1-1,0-0,NC-Wilmington vs. Indiana,16:00,1,2,Lance Stemler,2,3,Indiana,1,4,0,0,1,1,0,0,16
19,12566,0-2,0,0,2007-11-20,1,0-2,0-0,NC-Wilmington vs. Indiana,11:00,0,2,Brandon McGee,0,0,Indiana,3,1,0,2,0,2,0,0,11
20,12567,0-0,0,0,2007-11-20,2,1-3,0-0,NC-Wilmington vs. Indiana,13:00,1,2,Eli Holman,2,0,Indiana,1,3,0,0,1,3,0,0,13
21,12568,0-0,0,0,2007-11-20,2,0-0,3-4,NC-Wilmington vs. Indiana,4:00,0,0,Adam Ahlfeld,3,0,Indiana,0,2,0,0,0,0,3,4,4
22,12569,0-0,0,0,2007-11-20,0,0-0,0-0,NC-Wilmington vs. Indiana,5:00,2,0,Kyle Taber,0,0,Indiana,0,2,0,0,0,0,0,0,5
23,13109,0-1,0,0,2007-11-20,1,0-2,0-0,Maryland - E. Shore vs. Iowa,23:00,2,2,Milutin Mirjacic,0,0,Maryland - E. Shore,0,3,0,1,0,2,0,0,23
24,13110,0-0,0,0,2007-11-20,4,1-6,0-0,Maryland - E. Shore vs. Iowa,34:00,1,5,Denzel Jackson,2,2,Maryland - E. Shore,3,5,0,0,1,6,0,0,34
25,13111,0-0,1,1,2007-11-20,3,1-5,1-2,Maryland - E. Shore vs. Iowa,29:00,2,3,Aleksandar Popovic,3,0,Maryland - E. Shore,1,5,0,0,1,5,1,2,29
26,13112,1-2,1,0,2007-11-20,3,3-9,1-2,Maryland - E. Shore vs. Iowa,19:00,0,5,Marc Davis,8,2,Maryland - E. Shore,0,3,1,2,3,9,1,2,19
27,13113,7-10,2,0,2007-11-20,2,11-24,3-4,Maryland - E. Shore vs. Iowa,40:00,0,3,Ed Tyson,32,1,Maryland - E. Shore,3,2,7,10,11,24,3,4,40
28,13114,1-4,2,0,2007-11-20,0,1-7,0-0,Maryland - E. Shore vs. Iowa,16:00,0,1,Josh Bright,3,0,Maryland - E. Shore,3,0,1,4,1,7,0,0,16
29,13115,0-2,0,0,2007-11-20,0,0-3,0-0,Maryland - E. Shore vs. Iowa,4:00,0,0,Omar Akram,0,1,Maryland - E. Shore,0,0,0,2,0,3,0,0,4
30,13116,0-1,0,0,2007-11-20,1,0-3,0-0,Maryland - E. Shore vs. Iowa,11:00,0,2,Ishmawiyl McFadden,0,1,Maryland - E. Shore,0,1,0,1,0,3,0,0,11
31,13117,0-0,1,0,2007-11-20,0,0-0,0-0,Maryland - E. Shore vs. Iowa,11:00,1,1,B.J. Nimocks,0,0,Maryland - E. Shore,0,1,0,0,0,0,0,0,11
32,13118,0-0,0,0,2007-11-20,0,0-0,0-0,Maryland - E. Shore vs. Iowa,3:00,0,0,Danijel Krleski,0,0,Maryland - E. Shore,0,0,0,0,0,0,0,0,3
33,13119,0-0,0,0,2007-11-20,1,0-0,0-0,Maryland - E. Shore vs. Iowa,0:00,0,0,Jahmal Bivins,0,0,Maryland - E. Shore,0,1,0,0,0,0,0,0,0
34,13120,0-0,1,0,2007-11-20,0,0-1,0-0,Maryland - E. Shore vs. Iowa,10:00,2,3,Brandon Moore,0,0,Maryland - E. Shore,1,2,0,0,0,1,0,0,10
35,13121,0-0,0,5,2007-11-20,5,3-3,1-2,Maryland - E. Shore vs. Iowa,24:00,0,0,Kurt Looby,7,0,Iowa,2,5,0,0,3,3,1,2,24
36,13122,0-0,0,0,2007-11-20,5,1-3,2-2,Maryland - E. Shore vs. Iowa,17:00,1,0,Seth Gorney,4,1,Iowa,0,6,0,0,1,3,2,2,17
37,13123,0-3,5,0,2007-11-20,1,2-6,6-6,Maryland - E. Shore vs. Iowa,30:00,1,0,Dan Bohall,10,0,Iowa,0,2,0,3,2,6,6,6,30
38,13124,4-12,1,2,2007-11-20,2,5-13,5-7,Maryland - E. Shore vs. Iowa,36:00,1,3,Justin Johnson,19,1,Iowa,1,3,4,12,5,13,5,7,36
39,13125,0-0,1,0,2007-11-20,1,0-3,2-2,Maryland - E. Shore vs. Iowa,23:00,0,5,Jeff Peterson,2,0,Iowa,2,1,0,0,0,3,2,2,23
40,13126,0-0,0,0,2007-11-20,0,0-0,0-0,Maryland - E. Shore vs. Iowa,5:00,1,0,David Palmer,0,0,Iowa,0,1,0,0,0,0,0,0,5
41,13127,0-0,0,0,2007-11-20,0,0-0,0-0,Maryland - E. Shore vs. Iowa,11:00,0,0,J.R. Angle,0,0,Iowa,1,0,0,0,0,0,0,0,11
42,13128,1-1,3,2,2007-11-20,3,2-6,3-4,Maryland - E. Shore vs. Iowa,20:00,2,3,Jake Kelly,8,3,Iowa,4,5,1,1,2,6,3,4,20
43,13129,0-0,2,1,2007-11-20,2,2-3,5-6,Maryland - E. Shore vs. Iowa,13:00,0,4,Cyrus Tate,9,0,Iowa,3,2,0,0,2,3,5,6,13
44,13130,0-0,0,0,2007-11-20,6,2-3,2-3,Maryland - E. Shore vs. Iowa,21:00,1,1,Jarryd Cole,6,0,Iowa,1,7,0,0,2,3,2,3,21
