,PLAYER,TEAM,YEAR,PER
0,A.J. Davis,Central Florida,2017-2018,24.44617654341391
1,A.J. Harris,New Mexico St.,2017-2018,20.314872010719835
2,A.J. Jacobson,North Dakota State,2017-2018,23.858650110569418
3,A.J. John,UC Davis,2017-2018,23.371183211025944
4,A.J. Lawson,North Texas,2017-2018,17.143401206478483
5,A.J. Mosby,Alcorn St.,2017-2018,28.86126729218293
6,A.J. Youngman,Eastern Kentucky,2017-2018,13.264665120443194
7,AJ Brodeur,Pennsylvania,2017-2018,21.90197214520816
8,AJ Sumbry,Wagner,2017-2018,23.55441448777792
9,AJ Wilson,George Mason,2017-2018,17.994686739000638
10,Aamir Simms,Clemson,2017-2018,23.043181991513112
11,Aaren Edmead,No.Carolina A&T,2017-2018,13.536561871525048
12,Aaron Augustin,Stephen F. Austin,2017-2018,20.71888612664903
13,Aaron Brennan,Indiana - Purdue,2017-2018,17.24567825747875
14,Aaron Calixte,Maine,2017-2018,16.26680864844647
15,Aaron Carver,Old Dominion,2017-2018,19.027626482797615
16,Aaron Cook,Southern Illinois,2017-2018,20.45177386747358
17,Aaron Epps,Louisiana State,2017-2018,32.2999094337303
18,Aaron Falzon,Northwestern,2017-2018,9.389416049983828
19,Aaron Hines,Saint Louis,2017-2018,9.354361231569834
20,Aaron Holiday,UCLA,2017-2018,24.773521275872703
21,Aaron Jackson,East Carolina,2017-2018,5.073905349710305
22,Aaron Jordan,Illinois,2017-2018,4.172944279026075
23,Aaron Korn,Lipscomb,2017-2018,17.918763841323987
24,Aaron Menzies,Seattle,2017-2018,30.520508256892207
25,Aaron Moesch,Wisconsin,2017-2018,17.602570704417918
26,Aaron Nettles,Seattle,2017-2018,17.14044653685679
27,Aaron Ray,Southern,2017-2018,2.3875733958910756
28,Aaron Robinson,Quinnipiac,2017-2018,16.679741180422496
29,Aaron Thompson,Butler,2017-2018,15.26471099084172
30,Aaron Walker Jr.,Manhattan,2017-2018,11.79449679162411
31,Aaron Weidenaar,Central Arkansas,2017-2018,2.18569410942635
32,Aaron Young,Princeton,2017-2018,14.065257244701266
33,Aaryn Rai,Dartmouth,2017-2018,13.520557782526058
34,Abayomi Iyiola,Stetson,2017-2018,22.23874004454154
35,Abdoulaye Gueye,Georgia Tech,2017-2018,14.054763124021578
36,Abdul Ado,Mississippi State,2017-2018,25.31412442971956
37,Abdul Lewis,New Jersey Tech,2017-2018,22.202527536639945
38,Abdul-Malik Abu,NC State,2017-2018,26.056616000479682
39,Abdulai Bundu,Quinnipiac,2017-2018,25.46329239519252
40,Abel Porter,Utah St.,2017-2018,8.286791086953654
41,Abiola Akintola,Denver,2017-2018,8.82689723911891
42,Aboubacar Diallo,Eastern Illinois,2017-2018,22.08207033030682
