,MATCH,DATE,PT_DIFF
0,Savannah State vs. Cincinnati,2017-11-10,30.0
1,Central Arkansas vs. Baylor,2017-11-10,41.0
2,Campbell vs. Penn St.,2017-11-10,-11.0
3,Holy Cross vs. Sacred Heart,2017-11-10,5.0
4,Alabama St. vs. Mississippi State,2017-11-10,-28.0
5,Fairleigh Dickinson vs. Seton Hall,2017-11-10,-22.0
6,VMI vs. NC State,2017-11-10,35.0
7,Indiana St. vs. Indiana,2017-11-10,-21.0
8,Maryland vs. Stony Brook,2017-11-10,15.0
9,South Carolina vs. Wofford,2017-11-10,21.0
10,Cal Poly SLO vs. Stanford,2017-11-10,-16.0
11,New Orleans vs. St. John's,2017-11-10,-16.0
12,Houston Baptist vs. Providence,2017-11-10,-29.0
13,East Tennessee St. vs. Northern Kentucky,2017-11-10,-18.0
14,Southern Illinois vs. Winthrop,2017-11-10,15.0
15,Iona vs. Albany,2017-11-10,2.0
16,Bowling Green vs. Drexel,2017-11-10,9.0
17,Cornell vs. Syracuse,2017-11-10,-32.0
18,Utah Valley vs. Kentucky,2017-11-10,10.0
19,Charleston Southern vs. Davidson,2017-11-10,-48.0
20,Lafayette vs. George Mason,2017-11-10,2.0
21,Towson vs. Old Dominion,2017-11-10,3.0
22,Delaware vs. Richmond,2017-11-10,13.0
23,Siena vs. Charleston,2017-11-10,8.0
24,Maine vs. Boston College,2017-11-10,20.0
25,N.C. Asheville vs. Rhode Island,2017-11-10,-24.0
26,Southern vs. Illinois,2017-11-10,47.0
27,South Carolina Upstate vs. Minnesota,2017-11-10,15.0
28,Norfolk State vs. Auburn,2017-11-10,28.0
29,UL Lafayette vs. Mississippi,2017-11-10,18.0
30,Central Conn. St. vs. Hartford,2017-11-10,-1.0
31,Alcorn St. vs. Louisiana State,2017-11-10,-40.0
32,Mercer vs. Central Florida,2017-11-10,9.0
33,Florida Atlantic vs. South Florida,2017-11-10,-1.0
34,MD Baltimore County vs. Southern Methodist,2017-11-10,-11.0
35,Northern Arizona vs. Arizona,2017-11-10,34.0
36,Nebraska Omaha vs. Montana St.,2017-11-10,9.0
37,Missouri St. vs. Western Kentucky,2017-11-10,5.0
38,Eastern Kentucky vs. Rice,2017-11-10,1.0
39,Tenn-Martin vs. Marshall,2017-11-10,11.0
40,William & Mary vs. High Point,2017-11-10,34.0
41,North Carolina Central vs. Illinois-Chicago,2017-11-10,10.0
42,Pepperdine vs. Oklahoma State,2017-11-10,31.0
43,Pittsburgh vs. Navy,2017-11-10,9.0
44,Mount St. Mary's vs. Marquette,2017-11-10,21.0
45,Tennessee St. vs. Kansas,2017-11-10,36.0
46,Louisiana Monroe vs. Texas Christian,2017-11-10,-10.0
47,Florida A&M vs. Grand Canyon,2017-11-10,-16.0
48,Texas Southern vs. Gonzaga,2017-11-10,28.0
49,UC Irvine vs. South Dakota State,2017-11-10,11.0
50,Austin Peay vs. Vanderbilt,2017-11-10,-19.0
51,Belmont vs. Washington,2017-11-10,-4.0
52,Idaho State vs. Arizona State,2017-11-10,20.0
53,Prairie View A&M vs. Utah,2017-11-10,-21.0
54,Long Beach St. vs. San Francisco,2017-11-10,12.0
55,UC Riverside vs. California,2017-11-10,-8.0
56,Arkansas-Pine Bluff vs. Hawaii,2017-11-10,-12.0
57,Lamar vs. Tulsa,2017-11-10,7.0
58,Texas A&M vs. West Virginia,2017-11-10,23.0
59,Detroit Mercy vs. Virginia Tech,2017-11-10,-32.0
60,Memphis vs. Alabama,2017-11-10,12.0
61,Northern Iowa vs. North Carolina,2017-11-10,17.0
62,Elon University vs. Duke,2017-11-10,29.0
63,Robert Morris vs. Ohio St.,2017-11-10,31.0
64,South Carolina State vs. Wisconsin,2017-11-10,-35.0
65,NC-Greensboro vs. Virginia,2017-11-10,-12.0
66,Colgate vs. Connecticut,2017-11-10,-12.0
67,Kennesaw St. vs. Butler,2017-11-10,18.0
68,Morehead St. vs. Xavier,2017-11-10,-52.0
69,IUPU - Ft. Wayne vs. Oakland,2017-11-10,-14.0
70,Miami (OH) vs. Fordham,2017-11-10,-1.0
71,Morgan St. vs. Binghamton,2017-11-10,17.0
72,Western Carolina vs. Clemson,2017-11-10,28.0
73,Bryant vs. Georgia,2017-11-10,-25.0
74,Ball St. vs. Dayton,2017-11-10,-1.0
75,Army vs. Hofstra,2017-11-10,-3.0
76,Grambling State vs. VCU,2017-11-10,-29.0
77,Massachusetts Lowell vs. Massachusetts,2017-11-10,5.0
78,Presbyterian vs. Tennessee,2017-11-10,-35.0
79,Georgia Southern vs. Wake Forest,2017-11-10,2.0
80,Howard vs. George Washington,2017-11-10,9.0
81,Northeastern vs. Boston U,2017-11-10,-6.0
82,North Florida vs. Michigan St,2017-11-10,32.0
83,SIU - Edwardsville vs. Purdue,2017-11-10,31.0
84,LIU Brooklyn vs. Tulane,2017-11-10,-6.0
85,Gardner-Webb vs. Miami-Florida,2017-11-10,-32.0
86,Nicholls State vs. Texas Rio Grande Valley,2017-11-10,5.0
87,Seattle vs. Saint Louis,2017-11-10,16.0
88,Jacksonville vs. UAB,2017-11-10,-29.0
89,Samford vs. Arkansas,2017-11-10,39.0
90,McNeese St. vs. Houston,2017-11-10,28.0
91,UMKC vs. Wichita St.,2017-11-10,-52.0
92,Northern Colorado vs. Colorado,2017-11-10,15.0
93,Arkansas St. vs. Evansville,2017-11-10,-14.0
94,Wright St. vs. Loyola-Chicago,2017-11-10,4.0
95,Niagara vs. St. Bonaventure,2017-11-10,2.0
96,Hampton vs. Rider,2017-11-10,-29.0
97,Northwestern St. vs. Texas,2017-11-10,-46.0
98,Loyola-Maryland vs. Northwestern,2017-11-10,-4.0
99,Columbia vs. Villanova,2017-11-10,-15.0
100,Bucknell vs. Monmouth-NJ,2017-11-10,-1.0
101,Yale vs. Creighton,2017-11-10,16.0
102,Chattanooga vs. Wyoming,2017-11-10,-9.0
103,American U. vs. Kansas State,2017-11-10,-38.0
104,South Alabama vs. Texas Tech,2017-11-10,-25.0
105,Utah St. vs. Weber St.,2017-11-10,-6.0
106,Iowa State vs. Missouri,2017-11-10,-15.0
107,Chicago St. vs. Iowa,2017-11-10,-33.0
108,Sacramento State vs. Colorado St.,2017-11-10,11.0
109,Troy vs. North Dakota,2017-11-10,3.0
110,Southern Utah vs. Oregon St.,2017-11-10,17.0
111,Cal St. Fullerton vs. Southern California,2017-11-10,-42.0
112,Idaho vs. Nevada,2017-11-10,-24.0
113,Georgia Tech vs. UCLA,2017-11-10,-3.0
114,Coppin St. vs. Oregon,2017-11-10,-16.0
115,Illinois St. vs. Florida Gulf Coast,2017-11-11,11.0
116,Pennsylvania vs. Fairfield,2017-11-11,8.0
117,Alabama A&M vs. Ohio,2017-11-11,-8.0
118,Dartmouth vs. Quinnipiac,2017-11-11,-1.0
119,Notre Dame vs. DePaul,2017-11-11,-14.0
120,Wagner vs. New Jersey Tech,2017-11-11,-11.0
121,Cleveland St. vs. Akron,2017-11-11,10.0
122,St. Francis (PA) vs. St. Mary's,2017-11-11,-17.0
123,Eastern Illinois vs. Nebraska,2017-11-11,-4.0
124,Youngstown St. vs. Kent St.,2017-11-11,33.0
125,Portland St. vs. Portland,2017-11-11,-5.0
126,Canisius vs. Buffalo,2017-11-11,5.0
127,Indiana - Purdue vs. Bradley,2017-11-11,15.0
